cost_min,cost_max,dist_min,dist_max,alpha,k
70.63562429247473,199.92689350028823,40455.560764693735,85405.00065313408,0.0,27
85.22329849836501,238.4046857987815,39155.226433528405,89319.49723157319,0.0,28
80.97761378952497,233.63222470315597,39033.09087707971,93034.64589429648,0.0,29
61.32968709509557,202.25779696254122,36726.682983124134,108295.88571179092,0.0,30
96.57361143985128,225.57494136675263,38338.330370670184,74856.51918792514,0.0,31
84.22103616093693,225.85659508260278,37564.76801800759,95925.13787023685,0.0,32
85.95659949239868,248.6628825707108,36550.87316509747,87758.03314846219,0.0,33
96.92160696410357,261.3554184881291,36504.96291759394,77901.74189911345,0.0,34
108.11854034627825,253.98560162101597,36431.751840161676,78651.45058868997,0.0,35
112.54006339408907,252.79060018643847,35958.7088124793,73436.00578339487,0.0,36
110.19375736240886,233.93304362910513,36157.65711065469,69828.62463186444,0.0,37
95.78722486727389,291.75744082368396,34876.04425302417,65802.82972454737,0.0,38
113.96440074179247,246.27496221955494,33340.111246896464,65651.65299087712,0.0,39
115.82893383731901,281.90739505409465,34550.927748350936,68684.12087633915,0.0,40
103.32302815768747,262.4050829827138,32181.37274079968,80913.44036604608,0.0,41
134.00574171489882,251.87252693046025,32573.464466415415,70547.80007286363,0.0,42
145.62405794733354,278.22492558370277,33860.905748560086,65187.958592545474,0.0,43
131.86878325924152,281.0024470580946,32842.951720992096,76515.01414713183,0.0,44
127.86982387859135,291.67381236886024,32903.35303205293,63704.448579396085,0.0,45
147.53754109418819,282.49726536283777,32462.83216603022,60738.17561971663,0.0,46
93.03986284314267,291.73962039565583,31729.475614078838,69431.93867877948,0.0,47
154.2930987869498,285.7086060112432,31564.394916102072,64890.38986203758,0.0,48
150.8941900414199,293.31647189347575,32358.055069265833,62012.210632203,0.0,49
170.19550213010112,300.7947278751144,31773.694877619695,48532.20250765011,0.0,50
150.85453634681312,282.6907923722672,31888.074104682735,56066.49130747095,0.0,51
