Yıl,Ay No,İlçe,Dogalgaz Tüketim Miktarı (m3)
2017,8,ATAŞEHİR,3627628.051
2017,9,ATAŞEHİR,3814473.706
2017,10,ATAŞEHİR,8356681.332
2017,11,ATAŞEHİR,18423401.501
2017,12,ATAŞEHİR,25395281.013
2018,1,ATAŞEHİR,32342299.138
2018,2,ATAŞEHİR,28867683.964
2018,3,ATAŞEHİR,24734890.353
2018,4,ATAŞEHİR,11989085.164
2018,5,ATAŞEHİR,6650145.938
2018,6,ATAŞEHİR,4220794.825
2018,7,ATAŞEHİR,4016416.469
2018,8,ATAŞEHİR,3547188.658
2018,9,ATAŞEHİR,4291057.068
2018,10,ATAŞEHİR,7360086.913
2018,11,ATAŞEHİR,18137606.979
2018,12,ATAŞEHİR,33200161.286
2019,1,ATAŞEHİR,35539573.968
2019,2,ATAŞEHİR,30333535.433
2019,3,ATAŞEHİR,25596476.596
2019,4,ATAŞEHİR,18336476.849
2019,5,ATAŞEHİR,6712880.685
2019,6,ATAŞEHİR,4031736.328
2019,7,ATAŞEHİR,4017133.163
2019,8,ATAŞEHİR,3698207.677
2019,9,ATAŞEHİR,4269511.351
2019,10,ATAŞEHİR,5955282.922
2019,11,ATAŞEHİR,10060071.297
2019,12,ATAŞEHİR,26164798.884
2020,1,ATAŞEHİR,35822868.631
2020,2,ATAŞEHİR,29330217.607
2020,3,ATAŞEHİR,24706936.936
2020,4,ATAŞEHİR,17459451.999
2020,5,ATAŞEHİR,6619039.8
2020,6,ATAŞEHİR,4578051.707
2020,7,ATAŞEHİR,3800664.671
2020,8,ATAŞEHİR,3624324.605
2020,9,ATAŞEHİR,3948471.795
2020,10,ATAŞEHİR,5395517.997
2020,11,ATAŞEHİR,18331318.229
2020,12,ATAŞEHİR,24878773.611
2021,1,ATAŞEHİR,28662608.414
2021,2,ATAŞEHİR,27672670.965
2021,3,ATAŞEHİR,32004060.578
2021,4,ATAŞEHİR,20423925.701
2021,5,ATAŞEHİR,6092543.133
2021,6,ATAŞEHİR,5058755.491
2021,7,ATAŞEHİR,3834530.582
2021,8,ATAŞEHİR,3946643.377
2021,9,ATAŞEHİR,4657909.338
